sample_ID	salinity	salinity_q
MON_88	40	6_highly-hypersaline
MON_84	38	6_highly-hypersaline
MON_134	37	6_highly-hypersaline
MON_80	35	6_highly-hypersaline
MON_62	32	6_highly-hypersaline
MON_78	28	6_highly-hypersaline
MON_131	24.2	6_highly-hypersaline
MON_67	24	6_highly-hypersaline
MON_69	23	6_highly-hypersaline
MON_75	23	6_highly-hypersaline
MON_133	21	6_highly-hypersaline
MON_60	16.9	6_highly-hypersaline
MON_83	16.2	6_highly-hypersaline
MON_129	15.4	6_highly-hypersaline
MON_42	15	5_hypersaline
MON_79	14.8	5_hypersaline
MON_64	13.8	5_hypersaline
MON_130	11.5	5_hypersaline
MON_127	11.2	5_hypersaline
MON_58	11	5_hypersaline
MON_74	10.6	5_hypersaline
MON_40	10.5	5_hypersaline
MON_66	10.1	5_hypersaline
MON_38	10	5_hypersaline
MON_71	9.8	5_hypersaline
MON_114	9	5_hypersaline
MON_144	8.8	5_hypersaline
MON_70	8.4	5_hypersaline
MON_25	7.8	5_hypersaline
MON_61	7.8	5_hypersaline
MON_101	7.5	5_hypersaline
MON_65	7	5_hypersaline
MON_13	6.9	5_hypersaline
MON_47	6.8	5_hypersaline
MON_126	6.6	5_hypersaline
MON_49	6.2	5_hypersaline
MON_27	6	5_hypersaline
MON_73	6	5_hypersaline
MON_113	6	5_hypersaline
MON_41	5.9	5_hypersaline
MON_118	5.9	5_hypersaline
MON_29	5.8	5_hypersaline
MON_57	5.8	5_hypersaline
MON_72	5.8	5_hypersaline
MON_116	5.8	5_hypersaline
MON_100	5	4_marine
MON_145	4.9	4_marine
MON_44	4.8	4_marine
MON_119	4.6	4_marine
MON_37	4.5	4_marine
MON_63	4.3	4_marine
MON_139	4.3	4_marine
MON_117	4.1	4_marine
MON_14	4	4_marine
MON_28	4	4_marine
MON_48	4	4_marine
MON_53	4	4_marine
MON_138	4	4_marine
MON_136	3.95	4_marine
MON_56	3.8	4_marine
MON_85	3.8	4_marine
MON_43	3.7	4_marine
MON_103	3.5	4_marine
MON_17	3.4	4_marine
MON_76	3.4	4_marine
MON_7	3.3	4_marine
MON_31	3.3	4_marine
MON_33	3.3	4_marine
MON_26	3.2	4_marine
MON_39	3.2	4_marine
MON_50	3.2	4_marine
MON_51	3.2	4_marine
MON_46	3.1	4_marine
MON_106	3.1	4_marine
MON_24	3	4_marine
MON_36	3	4_marine
MON_59	3	4_marine
MON_81	3	4_marine
MON_68	2.9	3_brackish
MON_122	2.9	4_marine
MON_137	2.9	4_marine
MON_90	2.8	3_brackish
MON_125	2.8	3_brackish
MON_146	2.8	3_brackish
MON_30	2.5	3_brackish
MON_104	2.5	3_brackish
MON_32	2.4	3_brackish
MON_23	2.3	3_brackish
MON_45	2.3	3_brackish
MON_52	2.2	3_brackish
MON_12	2.1	3_brackish
MON_20	2.1	3_brackish
MON_120	2.1	3_brackish
MON_15	2	3_brackish
MON_18	2	3_brackish
MON_92	2	3_brackish
MON_93	2	3_brackish
MON_109	1.9	3_brackish
MON_19	1.8	3_brackish
MON_34	1.8	3_brackish
MON_140	1.8	3_brackish
MON_35	1.7	3_brackish
MON_112	1.7	3_brackish
MON_91	1.6	3_brackish
MON_142	1.6	3_brackish
MON_10	1.5	3_brackish
MON_54	1.5	3_brackish
MON_141	1.5	3_brackish
MON_2	1.2	2_slightly-brackish
MON_11	1.2	2_slightly-brackish
MON_21	1.2	2_slightly-brackish
MON_22	1.2	2_slightly-brackish
MON_99	1.2	2_slightly-brackish
MON_5	1.1	2_slightly-brackish
MON_96	1.1	2_slightly-brackish
MON_108	1.1	2_slightly-brackish
MON_123	1.1	2_slightly-brackish
MON_4	1	2_slightly-brackish
MON_9	1	2_slightly-brackish
MON_55	1	2_slightly-brackish
MON_95	1	2_slightly-brackish
MON_107	1	2_slightly-brackish
MON_124	1	2_slightly-brackish
MON_148	1	2_slightly-brackish
MON_8	0.9	2_slightly-brackish
MON_97	0.9	2_slightly-brackish
MON_98	0.9	2_slightly-brackish
MON_110	0.9	2_slightly-brackish
MON_111	0.9	2_slightly-brackish
MON_147	0.9	2_slightly-brackish
MON_94	0.8	2_slightly-brackish
MON_128	0.3	1_freshwater
MON_77	0.1	1_freshwater
MON_82	0.1	1_freshwater
MON_86	0.1	1_freshwater
MON_135	0.1	1_freshwater